Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Bismark_mqc-generalstats-bismark-percent_cpg_meth	Bismark_mqc-generalstats-bismark-percent_chg_meth	Bismark_mqc-generalstats-bismark-percent_chh_meth	Bismark_mqc-generalstats-bismark-total_c	Bismark_mqc-generalstats-bismark-aligned_reads	Bismark_mqc-generalstats-bismark-percent_aligned
10AF_S5_R1_001	4.983455674641435	15.054406022837568	33.0	75.0	45.45454545454545	14785511.0						
10AF_S5_R1_001_val_1		14.984947468644151	32.0	69.428533620084	36.36363636363637	14690579.0	59.9	0.6	0.5	227308447.0	6521706.0	44.39379822946393
10AF_S5_R2_001	0.660536131660799	21.17301142754802	31.0	75.0	9.090909090909092	14785511.0						
10AF_S5_R2_001_val_2		19.442199212030573	31.0	71.90775326146097	9.090909090909092	14690579.0						
10P_ER_S13_R1_001		12.569068232734153	33.0	75.0	45.45454545454545	13407438.0						
10P_ER_S13_R2_001		17.758094187416503	31.0	75.0	9.090909090909092	13407438.0						
10R_SG_S19_R1_001		13.907099833761208	33.0	75.0	45.45454545454545	15425716.0						
10R_SG_S19_R2_001		19.119782740114687	31.0	75.0	9.090909090909092	15425716.0						
11P_DS_S14_R1_001		12.215909023953827	34.0	75.0	45.45454545454545	13326140.0						
11P_DS_S14_R2_001		17.277493346170985	32.0	75.0	9.090909090909092	13326140.0						
11R_GA_S20_R1_001		14.114006520711598	34.0	75.0	45.45454545454545	15307383.0						
11R_GA_S20_R2_001		18.932467139103764	32.0	75.0	9.090909090909092	15307383.0						
11a_S3_R1_001	10.271253416292076											
11a_S3_R1_001_val_1		61.01004985036284	38.0	64.96561930257701	27.27272727272727	13950386.0	40.7	1.0	0.5	207337925.0	7918967.0	56.76521782264663
11a_S3_R2_001	9.81251372965152											
11a_S3_R2_001_val_2		55.21496617990767	37.0	64.44550881961258	27.27272727272727	13950386.0						
13a_S4_R1_001	8.386414560953876											
13a_S4_R1_001_val_1		61.069767407807404	38.0	66.64275989512142	18.181818181818183	16628371.0	44.5	1.1	0.6	265922099.0	9701673.0	58.344097566743
13a_S4_R2_001	8.031451712999084											
13a_S4_R2_001_val_2		55.267944009497946	36.0	65.85071514221086	18.181818181818183	16628371.0						
1AF_S1_R1_001	7.128011392856992	18.56251549152792	35.0	74.0	18.181818181818183	30166838.0						
1AF_S1_R1_001_val_1		19.948872467738553	34.0	67.20082983480224	9.090909090909092	30083578.0	62.8	0.7	0.7	405563238.0	11727136.0	38.98185249108334
1AF_S1_R2_001	0.6830221356709367	18.912051982866018	33.0	74.0	9.090909090909092	30166838.0						
1AF_S1_R2_001_val_2		17.829225566736937	32.0	71.29557853789865	9.090909090909092	30083578.0						
1HS_S6_R1_001	6.601207241493764	21.562803201284467	35.0	74.0	18.181818181818183	24785945.0						
1HS_S6_R1_001_val_1		22.802975895135788	34.0	67.6136002573977	9.090909090909092	24724385.0	63.0	0.7	0.6	385244765.0	11135079.0	45.03682902527201
1HS_S6_R2_001	0.6863129389359023	21.60344076455584	32.0	74.0	9.090909090909092	24785945.0						
1HS_S6_R2_001_val_2		20.573469383318738	32.0	71.2387270300151	9.090909090909092	24724385.0						
1MRLA_S9_R1_001		27.4834979559882	34.0	76.0	18.181818181818183	24883287.0						
1MRLA_S9_R2_001		29.80276116674071	32.0	76.0	9.090909090909092	24883287.0						
1PEM_S1_R1_001		26.114865068198327	34.0	76.0	18.181818181818183	19981458.0						
1PEM_S1_R2_001		28.44431139735596	32.0	76.0	9.090909090909092	19981458.0						
1RDAS_S11_R1_001		31.299341831889237	34.0	76.0	18.181818181818183	22737322.0						
1RDAS_S11_R2_001		32.65897730205111	32.0	76.0	9.090909090909092	22737322.0						
2AF_S2_R1_001	7.113483833414658	20.606414239099394	35.0	74.0	18.181818181818183	27653767.0						
2AF_S2_R1_001_val_1		22.081619888155828	34.0	67.22648219853254	9.090909090909092	27576940.0	63.6	0.7	0.6	398366671.0	11525236.0	41.7930198201831
2AF_S2_R2_001	0.6822512138097566	20.803439330247045	33.0	74.0	9.090909090909092	27653767.0						
2AF_S2_R2_001_val_2		19.75834960509188	33.0	71.2791104451763	9.090909090909092	27576940.0						
2HS_S7_R1_001	6.593685112930609	17.481585530835204	35.0	74.0	18.181818181818183	27236613.0						
2HS_S7_R1_001_val_1		18.733163072927496	34.0	67.62348355087343	9.090909090909092	27162962.0	62.0	0.7	0.7	364594717.0	10532970.0	38.776956651487424
2HS_S7_R2_001	0.6773099631869934	17.924143900448556	33.0	74.0	9.090909090909092	27236613.0						
2HS_S7_R2_001_val_2		16.993750110482836	32.0	71.30144665371914	9.090909090909092	27162962.0						
2MRPF_S10_R1_001		29.144562426981736	34.0	76.0	18.181818181818183	22048698.0						
2MRPF_S10_R2_001		31.382255849349576	32.0	76.0	9.090909090909092	22048698.0						
2PSL_S2_R1_001		30.52742430507655	34.0	76.0	18.181818181818183	21322885.0						
2PSL_S2_R2_001		32.20521416421404	32.0	76.0	9.090909090909092	21322885.0						
2RDAM_S12_R1_001		26.03451561577485	34.0	76.0	18.181818181818183	22290654.0						
2RDAM_S12_R2_001		28.19199662547554	32.0	76.0	9.090909090909092	22290654.0						
3AF_S3_R1_001	7.063530024432694	21.036072692926638	35.0	74.0	18.181818181818183	26585804.0						
3AF_S3_R1_001_val_1		22.50736943190398	34.0	67.24633619144623	9.090909090909092	26517147.0	62.3	0.7	0.6	391973146.0	11384063.0	42.93094954747583
3AF_S3_R2_001	0.6854183914711232	21.254000075154238	33.0	74.0	9.090909090909092	26585804.0						
3AF_S3_R2_001_val_2		20.099913226402634	32.0	71.2502446058771	9.090909090909092	26517147.0						
3HS_S8_R1_001	7.109391448819505	18.20894469928278	35.0	74.0	18.181818181818183	23250645.0						
3HS_S8_R1_001_val_1		19.67423847590682	34.0	67.21746438847423	9.090909090909092	23190666.0	62.8	0.7	0.6	329165153.0	9571672.0	41.273812489904344
3HS_S8_R2_001	0.6867569235037153	18.626357278677304	33.0	74.0	9.090909090909092	23250645.0						
3HS_S8_R2_001_val_2		17.706561212344994	32.0	71.26460438867947	9.090909090909092	23190666.0						
3PDR_S3_R1_001		27.928457735931886	34.0	76.0	18.181818181818183	23985559.0						
3PDR_S3_R2_001		30.549066590040155	32.0	76.0	9.090909090909092	23985559.0						
3RAM_S13_R1_001		28.370834777970785	34.0	76.0	18.181818181818183	23452029.0						
3RAM_S13_R2_001		30.05145256892183	32.0	76.0	9.090909090909092	23452029.0						
